| Sheet | DPI | Markers used | Fits | Residual RMS, median / 90th percentile (in) | Worst bull, median / 90th percentile (in) | Mean bull, median (in) |
|---|---|---|---|---|---|---|
| sheet 1 | 600 | 4 of 34 | 40 | 0.00412 / 0.01787 | 0.00898 / 0.03859 | 0.00320 |
| sheet 1 | 600 | 6 of 34 | 40 | 0.00292 / 0.00429 | 0.00545 / 0.00857 | 0.00203 |
| sheet 1 | 600 | 9 of 34 | 40 | 0.00244 / 0.00264 | 0.00333 / 0.00487 | 0.00154 |
| sheet 1 | 600 | 12 of 34 | 40 | 0.00232 / 0.00252 | 0.00308 / 0.00393 | 0.00141 |
| sheet 1 | 600 | 16 of 34 | 40 | 0.00228 / 0.00240 | 0.00286 / 0.00339 | 0.00137 |
| sheet 1 | 600 | 20 of 34 | 40 | 0.00221 / 0.00226 | 0.00269 / 0.00328 | 0.00129 |
| sheet 1 | 600 | 25 of 34 | 40 | 0.00219 / 0.00223 | 0.00266 / 0.00318 | 0.00133 |
| sheet 1 | 600 | 30 of 34 | 40 | 0.00219 / 0.00223 | 0.00266 / 0.00286 | 0.00132 |
| sheet 1 | 600 | 34 of 34 | 1 | 0.00217 / 0.00217 | 0.00254 / 0.00254 | 0.00126 |
| sheet 2 | 600 | 4 of 34 | 40 | 0.00590 / 0.02359 | 0.01316 / 0.05078 | 0.00393 |
| sheet 2 | 600 | 6 of 34 | 40 | 0.00318 / 0.00462 | 0.00640 / 0.00969 | 0.00235 |
| sheet 2 | 600 | 9 of 34 | 40 | 0.00245 / 0.00302 | 0.00400 / 0.00568 | 0.00158 |
| sheet 2 | 600 | 12 of 34 | 40 | 0.00237 / 0.00260 | 0.00379 / 0.00510 | 0.00167 |
| sheet 2 | 600 | 16 of 34 | 40 | 0.00232 / 0.00249 | 0.00351 / 0.00437 | 0.00155 |
| sheet 2 | 600 | 20 of 34 | 40 | 0.00226 / 0.00234 | 0.00351 / 0.00461 | 0.00149 |
| sheet 2 | 600 | 25 of 34 | 40 | 0.00222 / 0.00229 | 0.00312 / 0.00383 | 0.00148 |
| sheet 2 | 600 | 30 of 34 | 40 | 0.00220 / 0.00226 | 0.00316 / 0.00372 | 0.00147 |
| sheet 2 | 600 | 34 of 34 | 1 | 0.00219 / 0.00219 | 0.00316 / 0.00316 | 0.00145 |
| sheet 3, the control | 600 | 4 of 34 | 40 | 0.00605 / 0.01639 | 0.01295 / 0.03924 | 0.00418 |
| sheet 3, the control | 600 | 6 of 34 | 40 | 0.00266 / 0.00391 | 0.00438 / 0.00743 | 0.00181 |
| sheet 3, the control | 600 | 9 of 34 | 40 | 0.00241 / 0.00304 | 0.00370 / 0.00575 | 0.00145 |
| sheet 3, the control | 600 | 12 of 34 | 40 | 0.00227 / 0.00241 | 0.00298 / 0.00412 | 0.00127 |
| sheet 3, the control | 600 | 16 of 34 | 40 | 0.00220 / 0.00225 | 0.00302 / 0.00401 | 0.00134 |
