| Gate | Lens | Photograph | Markers | Corners kept | Residual RMS, kept / all corners (in) | Homography alone, RMS (in) | Lens k1 / k2 | Distortion at the frame edge | Bull mean (in) | Worst scoring bull (in) | Scoring bulls over the gate | Worst sighter (in) | Sighters over the gate | Verdict |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| flat, Phase 0 | 6.25 mm f/1.7 | `main_flat1.jpg` | 34/34 | 136 of 136 | 0.00270 / 0.00270 | 0.00729 | -0.0512 / +0.0659 | 202 px = 0.876 in | 0.00187 | 0.00343 at 21 | 0 of 25 | 0.00661 at S1 | 1 of 3 | fail |
| flat, Phase 0 | 6.25 mm f/1.7 | `main_flat2.jpg` | 25/34 | 100 of 100 | 0.00315 / 0.00315 | 0.00587 | -0.0436 / +0.0531 | 154 px = 0.999 in | 0.00270 | 0.00566 at 13 | 2 of 25 | 0.01016 at S1 | 2 of 3 | fail |
| flat, Phase 0 | 6.25 mm f/1.7 | `main_flat3.jpg` | 23/34 | 91 of 92 | 0.00395 / 0.00424 | 0.01107 | -0.0721 / +0.1058 | 364 px = 4.930 in | 0.00392 | 0.01183 at 1 | 6 of 25 | 0.00496 at S1 | 0 of 3 | fail |
| not gated | 2.20 mm f/2.2 | `20260913_130543.jpg` | 34/34 | 136 of 136 | 0.00329 / 0.00329 | 0.00362 | +0.0097 / -0.0236 | 106 px = 1.029 in | 0.00231 | 0.00569 at 15 | 2 of 25 | 0.00383 at S3 | 0 of 3 | fail, not gated |
| not gated | 2.20 mm f/2.2 | `20260913_130550.jpg` | 34/34 | 136 of 136 | 0.00331 / 0.00331 | 0.00391 | -0.0020 / -0.0043 | 34 px = 0.263 in | 0.00252 | 0.00678 at 15 | 1 of 25 | 0.00876 at S3 | 1 of 3 | fail, not gated |
| not gated | 2.20 mm f/2.2 | `20260913_130554.jpg` | 34/34 | 135 of 136 | 0.00370 / 0.00380 | 0.00387 | +0.0049 / -0.0100 | 42 px = 0.370 in | 0.00309 | 0.00597 at 11 | 3 of 25 | 0.01083 at S3 | 3 of 3 | fail, not gated |
| not gated | 2.20 mm f/2.2 | `20260913_130559.jpg` | 34/34 | 136 of 136 | 0.00248 / 0.00248 | 0.00297 | +0.0034 / -0.0091 | 42 px = 0.171 in | 0.00198 | 0.00338 at 15 | 0 of 25 | 0.00922 at S3 | 2 of 3 | fail, not gated |
| mounted, Phase 1 | 2.20 mm f/2.2 | `ultrawide1.jpg` | 34/34 | 66 of 136 | 0.00432 / 0.02331 | 0.01829 | -0.0296 / -0.0129 | 194 px = 0.801 in | 0.01212 | 0.03301 at 21 | 13 of 25 | 0.06983 at S1 | 3 of 3 | fail |
| mounted, Phase 1 | 2.20 mm f/2.2 | `ultrawide2.jpg` | 34/34 | 54 of 136 | 0.00559 / 0.03282 | 0.01788 | -0.0765 / +0.0779 | 176 px = 1.930 in | 0.01963 | 0.06983 at 5 | 20 of 25 | 0.08732 at S1 | 3 of 3 | fail |
| mounted, Phase 1 | 2.20 mm f/2.2 | `ultrawide3.jpg` | 32/34 | 42 of 128 | 0.00610 / 0.06022 | 0.01913 | -0.0679 / +0.0700 | 161 px = 3.482 in | 0.01944 | 0.09123 at 21 | 21 of 25 | 0.07995 at S2 | 3 of 3 | fail |
| mounted, Phase 1 | 6.25 mm f/1.7 | `main1.jpg` | 34/34 | 90 of 136 | 0.00474 / 0.01421 | 0.01609 | -0.0729 / +0.0770 | 185 px = 0.859 in | 0.00836 | 0.01532 at 21 | 8 of 25 | 0.04841 at S1 | 3 of 3 | fail |
| mounted, Phase 1 | 6.25 mm f/1.7 | `main2.jpg` | 26/34 | 25 of 104 | 0.00353 / 0.05684 | 0.01966 | -0.1597 / +0.3165 | 1306 px = 13.063 in | 0.01664 | 0.04350 at 10 | 21 of 25 | 0.06231 at S1 | 3 of 3 | fail |
| mounted, Phase 1 | 6.25 mm f/1.7 | `main3.jpg` | 27/34 | 58 of 108 | 0.00535 / 0.02374 | 0.01636 | -0.0532 / +0.0699 | 218 px = 1.750 in | 0.01881 | 0.06540 at 21 | 20 of 25 | 0.11379 at S1 | 3 of 3 | fail |
| mounted, Phase 1 | 7.00 mm f/2.4 | `telephoto1.jpg` | 16/34 | excluded: the sheet overflows the frame (NOTES-FROM-PLANNING.md entry 6) | | | | | | | | | | excluded |
| mounted, Phase 1 | 7.00 mm f/2.4 | `telephoto2.jpg` | 33/34 | 38 of 132 | 0.00622 / 0.03080 | 0.02003 | +0.0879 / -0.1128 | 344 px = 1.747 in | 0.01955 | 0.04584 at 21 | 21 of 25 | 0.09626 at S1 | 3 of 3 | fail |
| mounted, Phase 1 | 7.00 mm f/2.4 | `telephoto3.jpg` | 4/34 | excluded: the sheet overflows the frame (NOTES-FROM-PLANNING.md entry 6) | | | | | | | | | | excluded |
