Paper: sheets 1 to 3 of GL-CF25-LTR. Residual and bull figures are the mean over the three sheets; the worst bull is the worst on any of them.

| DPI | Refinement | Markers matched | Residual RMS (in) | Residual max (in) | Bull mean (in) | Worst bull (in) |
|---|---|---|---|---|---|---|
| 600 | none | 102 of 102 | 0.00255 | 0.00633 | 0.00133 | 0.00279 |
| 600 | contour | 102 of 102 | 0.00194 | 0.00406 | 0.00137 | 0.00336 |
| 600 | subpix, shipped window | 102 of 102 | 0.00216 | 0.00504 | 0.00132 | 0.00316 |
| 600 | subpix, 0.25 module | 102 of 102 | 0.00254 | 0.00592 | 0.00128 | 0.00316 |
| 600 | subpix, 0.5 module | 102 of 102 | 0.00202 | 0.00445 | 0.00131 | 0.00316 |
| 600 | subpix, 1 module | 102 of 102 | 0.00169 | 0.00407 | 0.00126 | 0.00335 |
| 600 | subpix, 1.5 modules | 102 of 102 | 0.00415 | 0.00922 | 0.00132 | 0.00328 |
| 600 | subpix, 2 modules | 102 of 102 | 0.00642 | 0.00988 | 0.00464 | 0.01056 |
| 300 | none | 102 of 102 | 0.00287 | 0.00729 | 0.00128 | 0.00295 |
| 300 | contour | 102 of 102 | 0.00176 | 0.00414 | 0.00140 | 0.00357 |
| 300 | subpix, shipped window | 102 of 102 | 0.00192 | 0.00429 | 0.00131 | 0.00295 |
| 300 | subpix, 0.25 module | 102 of 102 | 0.00329 | 0.00836 | 0.00135 | 0.00321 |
| 300 | subpix, 0.5 module | 102 of 102 | 0.00214 | 0.00485 | 0.00135 | 0.00328 |
| 300 | subpix, 1 module | 102 of 102 | 0.00186 | 0.00418 | 0.00130 | 0.00288 |
| 300 | subpix, 1.5 modules | 102 of 102 | 0.00400 | 0.00853 | 0.00144 | 0.00312 |
| 300 | subpix, 2 modules | 102 of 102 | 0.00634 | 0.00991 | 0.00466 | 0.01343 |

Synthetic: GL-CF25-LTR rendered by SceneRasterizer and distorted by the test 43 perturbation, so every corner's true position is known.

| DPI | Refinement | Markers matched | Corner error against truth, RMS (px) | Mean radial bias (px, + outward) | Residual RMS (in) | Worst bull (in) |
|---|---|---|---|---|---|---|
| 600 | none | 34 of 34 | 0.632 | -0.334 | 0.00104 | 0.00030 |
| 600 | contour | 34 of 34 | 0.583 | -0.434 | 0.00097 | 0.00019 |
| 600 | subpix, shipped window | 34 of 34 | 0.159 | -0.136 | 0.00026 | 0.00012 |
| 600 | subpix, 0.25 module | 34 of 34 | 0.219 | -0.197 | 0.00036 | 0.00012 |
| 600 | subpix, 0.5 module | 34 of 34 | 0.142 | -0.118 | 0.00023 | 0.00012 |
| 600 | subpix, 1 module | 34 of 34 | 0.247 | -0.175 | 0.00041 | 0.00015 |
| 600 | subpix, 1.5 modules | 34 of 34 | 2.327 | -1.669 | 0.00392 | 0.00136 |
| 600 | subpix, 2 modules | 34 of 34 | 6.655 | -5.800 | 0.00621 | 0.01041 |
| 300 | none | 34 of 34 | 0.641 | -0.335 | 0.00214 | 0.00016 |
| 300 | contour | 34 of 34 | 0.610 | -0.408 | 0.00203 | 0.00024 |
| 300 | subpix, shipped window | 34 of 34 | 0.163 | -0.120 | 0.00053 | 0.00028 |
| 300 | subpix, 0.25 module | 34 of 34 | 0.795 | -0.465 | 0.00255 | 0.00157 |
| 300 | subpix, 0.5 module | 34 of 34 | 0.215 | -0.198 | 0.00071 | 0.00026 |
| 300 | subpix, 1 module | 34 of 34 | 0.226 | -0.179 | 0.00073 | 0.00034 |
| 300 | subpix, 1.5 modules | 34 of 34 | 1.231 | -0.908 | 0.00406 | 0.00118 |
| 300 | subpix, 2 modules | 34 of 34 | 3.183 | -2.796 | 0.00679 | 0.01195 |
