| Image | DPI | Tile | Markers | Residual RMS / max (in) | Centroid mean / worst (in) | Edge fit mean / worst (in) | Ink spread (mm) | Scale x / y | Gate, centroid / edge |
|---|---|---|---|---|---|---|---|---|---|
| `gl-cf25-ltr-1-600-dpi.png` | 600 | 1 | 34/34 | 0.00217 / 0.00504 | 0.00225 / 0.00397 | 0.00126 / 0.00254 | +0.023 | 1.00008 / 1.00063 | pass / pass |
| `gl-cf25-ltr-2-600-dpi.png` | 600 | 1 | 34/34 | 0.00219 / 0.00561 | 0.00217 / 0.00431 | 0.00145 / 0.00316 | +0.022 | 1.00012 / 1.00042 | pass / pass |
| `gl-cf25-ltr-3-600-dpi.png` | 600 | 1 | 34/34 | 0.00211 / 0.00447 | 0.00212 / 0.00425 | 0.00125 / 0.00290 | +0.023 | 1.00015 / 1.00066 | pass / pass |
| `gl-cf25-ltr-96.2-600-dpi.png` | 600 | 1 | 34/34 | 0.00224 / 0.00510 | 0.00168 / 0.00397 | 0.00151 / 0.00234 | +0.024 | 0.96214 / 0.96250 | pass / pass |
| `gl-cf25-ltr-d-blank-600-dpi.png` | 600 | 1 | 34/34 | 0.00259 / 0.00730 | 0.00239 / 0.00521 | 0.00121 / 0.00227 | +0.023 | 1.00015 / 1.00050 | FAIL / pass |
| `gl-cf25-ltr-d-filled-600-dpi.png` | 600 | 1 | 34/34 | 0.00265 / 0.00722 | 0.00217 / 0.00459 | 0.00141 / 0.00247 | +0.023 | 1.00010 / 1.00039 | pass / pass |
| `gl-lr300-t-1-600-dpi.png` | 600 | 1 | 9/9 | 0.00181 / 0.00505 | 0.00162 / 0.00323 | 0.00203 / 0.00254 | +0.024 | 1.00011 / 1.00084 | pass / pass |
| `gl-lr300-t-2-600-dpi.png` | 600 | 2 | 9/9 | 0.00165 / 0.00445 | 0.00201 / 0.00343 | 0.00193 / 0.00267 | +0.025 | 1.00011 / 1.00081 | pass / pass |
| `gl-lr300-t-3-600-dpi.png` | 600 | 3 | 9/9 | 0.00145 / 0.00306 | 0.00236 / 0.00278 | 0.00217 / 0.00325 | +0.023 | 1.00003 / 1.00093 | pass / pass |
| `gl-lr300-t-4-600-dpi.png` | 600 | 4 | 9/9 | 0.00195 / 0.00424 | 0.00260 / 0.00590 | 0.00189 / 0.00317 | +0.024 | 1.00014 / 1.00056 | FAIL / pass |
| `gl-cf25-ltr-2-600-dpi-rot180.png` | 600 | 1 | 34/34 | 0.00213 / 0.00533 | 0.00308 / 0.00658 | 0.00140 / 0.00268 | +0.023 | 0.99998 / 1.00039 | not gated |
| `gl-cf25-ltr-1-300-dpi.png` | 300 | 1 | 34/34 | 0.00189 / 0.00419 | 0.00280 / 0.00495 | 0.00126 / 0.00250 | +0.011 | 1.00012 / 1.00056 | not gated |
| `gl-cf25-ltr-2-300-dpi.png` | 300 | 1 | 34/34 | 0.00194 / 0.00428 | 0.00219 / 0.00514 | 0.00135 / 0.00276 | +0.010 | 1.00015 / 1.00044 | not gated |
| `gl-cf25-ltr-3-300-dpi.png` | 300 | 1 | 34/34 | 0.00194 / 0.00441 | 0.00232 / 0.00609 | 0.00131 / 0.00295 | +0.011 | 1.00020 / 1.00056 | not gated |
| `gl-cf25-ltr-96.2-300-dpi.png` | 300 | 1 | 34/34 | 0.00175 / 0.00392 | 0.00209 / 0.00432 | 0.00141 / 0.00243 | +0.011 | 0.96216 / 0.96250 | not gated |
| `gl-cf25-ltr-d-blank-300-dpi.png` | 300 | 1 | 34/34 | 0.00206 / 0.00442 | 0.00303 / 0.00492 | 0.00131 / 0.00220 | +0.011 | 1.00014 / 1.00043 | not gated |
| `gl-cf25-ltr-d-filled-300-dpi.png` | 300 | 1 | 34/34 | 0.00246 / 0.00570 | 0.00269 / 0.00521 | 0.00147 / 0.00227 | +0.012 | 1.00011 / 1.00032 | not gated |
| `gl-lr300-t-1-300-dpi.png` | 300 | 1 | 9/9 | 0.00178 / 0.00369 | 0.00320 / 0.00498 | 0.00211 / 0.00311 | +0.006 | 1.00019 / 1.00078 | not gated |
| `gl-lr300-t-2-300-dpi.png` | 300 | 2 | 9/9 | 0.00189 / 0.00433 | 0.00286 / 0.00432 | 0.00227 / 0.00279 | +0.007 | 1.00001 / 1.00062 | not gated |
| `gl-lr300-t-3-300-dpi.png` | 300 | 3 | 9/9 | 0.00180 / 0.00352 | 0.00352 / 0.00555 | 0.00244 / 0.00358 | +0.005 | 1.00008 / 1.00075 | not gated |
| `gl-lr300-t-4-300-dpi.png` | 300 | 4 | 9/9 | 0.00189 / 0.00380 | 0.00231 / 0.00483 | 0.00224 / 0.00316 | +0.007 | 1.00008 / 1.00063 | not gated |
