# GroupLab range-statistic table, docs/STATISTICS.md sections 5 and 15.3. Generated by `grouplab stats range-table` with seed 20260914.
# Groups of n shots from a circular bivariate normal with sigma 1, statistics averaged over nGroups groups: ES extreme spread,
# FoM figure of merit, D bounding-box diagonal, RS Rayleigh sigma with the c4 correction. M mean, SD standard deviation, Q025 and Q975 quantiles.
n,nGroups,replications,ES_M,ES_SD,ES_Q025,ES_Q975,FoM_M,FoM_SD,FoM_Q025,FoM_Q975,D_M,D_SD,D_Q025,D_Q975,RS_M,RS_SD,RS_Q025,RS_Q975
2,1,10000000,1.772085847186472,0.9265547642238902,0.3179927964626922,3.84175490088633,1.1280998059338738,0.6027855270480275,0.19922420923802078,2.495479898380428,1.772085847186472,0.9265547642238902,0.3179927964626922,3.84175490088633,0.9997923761350119,0.5227525465616687,0.17940822340747226,2.1674780976236043
3,1,10000000,2.408828586217044,0.8920824467642564,0.8817540852883908,4.33662793211842,1.6925331704876863,0.6282357821389568,0.618224559810319,3.051052726057173,2.5396191996136563,0.9265421746329128,0.9380122304369313,4.525604082903923,0.9999999110101301,0.3630364966587191,0.37019977503215845,1.7758553827278878
4,1,10000000,2.7933007750357093,0.855846097522895,1.2956781732385936,4.627213762436336,2.058630063272756,0.6220147964736384,0.9602205952295932,3.379271366628241,3.0338184596312057,0.9053675706861335,1.4257949206765532,4.948703311017005,0.9999316413453682,0.2940391181270609,0.4733883821934928,1.6170049519592866
5,1,10000000,3.065985254031736,0.8268705772300197,1.6075905762164309,4.833203845368844,2.3259152372911216,0.6109271752345085,1.231942254200826,3.614566699305812,3.3958371092377306,0.8841560558284699,1.8071810234605457,5.2554524559659495,0.9999965026844142,0.2535894300575493,0.5385947770015883,1.5274785324552824
6,1,10000000,3.2755331168553123,0.8037957830645837,1.8522359027233113,4.9925803366504935,2.5345915299964545,0.5998596853032657,1.452298669980075,3.794014423366076,3.679461823246739,0.865518629652447,2.1151969878173187,5.4951248892575935,1.0000559955103696,0.22631096799022032,0.5841111805931294,1.4679029233410326
7,1,10000000,3.444089123845361,0.7835786118624201,2.055464149115268,5.118344672965138,2.7044171263296413,0.5889178812609035,1.6378880718843178,3.937893749646605,3.9109832654660335,0.8481442783288496,2.3739331809381166,5.687134038261522,1.0000318352416757,0.20605396261363712,0.6189865774555052,1.4237823968824042
8,1,10000000,3.585364123854965,0.7673737124271562,2.224817906648744,5.226357604526414,2.8472419060596748,0.5795537772072453,1.7940952864799438,4.0598514897303986,4.106333261726951,0.8337629118676864,2.5914600388385107,5.851448449903954,1.0000402610738344,0.19053399167929386,0.6457744163458804,1.3904150219398215
9,1,10000000,3.7061257313092177,0.7536740636336838,2.3692234039045754,5.319048957444927,2.97009171299116,0.571192955666755,1.929940635540856,4.163158111827968,4.274793463674774,0.821123187302291,2.780080409506361,5.991054782890724,1.0000433100226311,0.17810381775935927,0.6672301261222353,1.363641487688886
10,1,10000000,3.811428313317949,0.7417384296791311,2.497234514287505,5.3993307491772375,3.0774131122259614,0.5637263273637015,2.051000872628794,4.254708544368727,4.422187488712023,0.8099160725568908,2.9485372084666297,6.11579962310844,0.9999731167692408,0.1677794945408436,0.685543476037083,1.341708009989599
11,1,10000000,3.9047700024259164,0.730566493915054,2.609419195743894,5.469138160080288,3.1728203815409968,0.5567548400561197,2.157034029286204,4.335414631456272,4.553451779694029,0.7995208768113495,3.096386072053706,6.224709497429007,0.9999863076486913,0.15908369384180757,0.7010513666465781,1.3232985531705743
12,1,10000000,3.988413321626742,0.7210698798992715,2.7118593447153327,5.535155166213921,3.2584157507671683,0.550351103272326,2.2547416164115246,4.408078833854868,4.671422366978762,0.7901426801426957,3.2322230619481336,6.32380599100068,0.9999936937174209,0.15155382357245437,0.71441418914717,1.307730676717539
13,1,10000000,4.063968031540094,0.7124939037348624,2.8044489564910076,5.593872470546047,3.3360802122080413,0.5447577319500367,2.3427186871731225,4.474051511105393,4.778556686702648,0.7818722398759059,3.35427638018641,6.414078889427048,1.0000267045588995,0.14503963521800317,0.7265098985773479,1.2940900051274906
14,1,10000000,4.132951616577496,0.7049062575335742,2.8874239894469436,5.646907563547659,3.4068544474992253,0.5396710921987825,2.4230591166858284,4.534317298487864,4.876318583162131,0.7743929560528944,3.4667263958690695,6.49615871751797,1.0000253921401991,0.13937535893080363,0.7368119848947255,1.2822176538609042
15,1,10000000,4.195911062745869,0.6975835568963201,2.963780897357897,5.695346755998344,3.4717153212564633,0.5346724363311505,2.4967939794327396,4.589248768565791,4.965908906691936,0.7670657439065962,3.56953436692584,6.571491582193367,0.9999826638965277,0.13417648642955288,0.7460916587372877,1.2714080621596635
16,1,10000000,4.254642719791287,0.6910484312979902,3.0354193714749824,5.742151766176325,3.5320276404644058,0.5303180914123793,2.5652856268852977,4.6408924232507545,5.0494537998503555,0.76073431320075,3.664980458069183,6.642611818316117,0.9999958510516556,0.12963090683546144,0.7544061638385007,1.2618862303893632
17,1,10000000,4.308702087714242,0.6852668833881121,3.1003006470273595,5.784223708809932,3.5879400602479383,0.5261950807665996,2.6288821404567937,4.687702864917046,5.126813188096242,0.7547394911575945,3.753500472343045,6.706662658972727,1.0000095200709005,0.12548929576681336,0.7621326372112903,1.2532413115763714
