shots,lower_multiple,upper_multiple
3,0.599,2.874
4,0.644,2.202
5,0.675,1.916
6,0.699,1.755
7,0.717,1.651
8,0.732,1.577
9,0.745,1.522
10,0.756,1.479
11,0.765,1.444
12,0.773,1.415
13,0.781,1.391
14,0.788,1.37
15,0.794,1.352
16,0.799,1.337
17,0.804,1.323
18,0.809,1.31
19,0.813,1.299
20,0.817,1.289
21,0.821,1.28
22,0.825,1.271
23,0.828,1.263
24,0.831,1.256
25,0.834,1.249
26,0.837,1.243
27,0.839,1.237
28,0.842,1.232
29,0.844,1.227
30,0.847,1.222
31,0.849,1.217
32,0.851,1.213
33,0.853,1.209
34,0.855,1.205
35,0.857,1.202
36,0.858,1.198
37,0.86,1.195
38,0.862,1.192
39,0.863,1.189
40,0.865,1.186
41,0.866,1.183
42,0.868,1.18
43,0.869,1.178
44,0.87,1.175
45,0.872,1.173
46,0.873,1.171
47,0.874,1.169
48,0.875,1.167
49,0.876,1.165
50,0.877,1.163
51,0.879,1.161
52,0.88,1.159
53,0.881,1.157
54,0.882,1.155
55,0.883,1.154
56,0.884,1.152
57,0.884,1.151
58,0.885,1.149
59,0.886,1.148
60,0.887,1.146
61,0.888,1.145
62,0.889,1.143
63,0.89,1.142
64,0.89,1.141
65,0.891,1.14
66,0.892,1.138
67,0.893,1.137
68,0.893,1.136
69,0.894,1.135
70,0.895,1.134
71,0.895,1.133
72,0.896,1.132
73,0.897,1.131
74,0.897,1.129
75,0.898,1.129
76,0.899,1.128
77,0.899,1.127
78,0.9,1.126
79,0.9,1.125
80,0.901,1.124
81,0.901,1.123
82,0.902,1.122
83,0.902,1.121
84,0.903,1.12
85,0.904,1.12
86,0.904,1.119
87,0.905,1.118
88,0.905,1.117
89,0.906,1.117
90,0.906,1.116
91,0.907,1.115
92,0.907,1.114
93,0.907,1.114
94,0.908,1.113
95,0.908,1.112
96,0.909,1.112
97,0.909,1.111
98,0.91,1.11
99,0.91,1.11
100,0.91,1.109
