shot,x_in,y_in,x_moa,y_moa,x_mil,y_mil
1,-0.2379,0.0722,-0.2272,0.0689,-0.0661,0.02
2,-0.5689,0.4187,-0.5433,0.3999,-0.158,0.1163
3,0.1915,-0.0876,0.1829,-0.0837,0.0532,-0.0243
4,-0.0936,0.0912,-0.0894,0.087,-0.026,0.0253
5,-0.0803,-0.0678,-0.0767,-0.0647,-0.0223,-0.0188
6,0.216,0.1544,0.2063,0.1475,0.06,0.0429
7,-0.0192,-0.0256,-0.0184,-0.0245,-0.0053,-0.0071
8,0.0483,-0.1842,0.0461,-0.1759,0.0134,-0.0512
9,-0.1211,0.1645,-0.1157,0.1571,-0.0336,0.0457
10,-0.0391,-0.4123,-0.0374,-0.3937,-0.0109,-0.1145
