sheet,calibre,medium,bullet_inches,median_hole_inches,ratio,holes
22LR block,.22 LR,scan,0.224,0.1699,0.758,19
22LR block,.22 LR,photograph,0.224,0.2395,1.069,24
22LR block,.22 LR,photograph,0.224,0.2413,1.077,24
6 ARC block,6 ARC,scan,0.243,0.2244,0.923,20
6 ARC block,6 ARC,photograph,0.243,0.3051,1.256,20
6 ARC block,6 ARC,photograph,0.243,0.3238,1.333,18
6 ARC block,6 ARC,photograph,0.243,0.3304,1.360,20
6.5 Creedmoor 25 shot,6.5 Creedmoor,scan,0.264,0.2506,0.949,25
6.5 Creedmoor 25 shot,6.5 Creedmoor,photograph,0.264,0.2370,0.898,25
6.5 Creedmoor 15 shot,6.5 Creedmoor,scan,0.264,0.2473,0.937,14
6.5 Creedmoor 15 shot,6.5 Creedmoor,photograph,0.264,0.3833,1.452,15
6.5 Creedmoor 15 shot,6.5 Creedmoor,photograph,0.264,0.3710,1.405,16
6.5 Creedmoor 15 shot,6.5 Creedmoor,photograph,0.264,0.3825,1.449,14
