string_length,measured_sd_fps
5,12.85
5,2.61
5,3.57
5,7.01
5,5.26
5,13.04
5,11.88
5,6.58
5,9.26
5,16.02
5,9.8
5,7.13
5,2.1
5,9.49
5,15.95
5,7.46
5,8.11
5,7.35
5,11.54
5,12.81
5,13.04
5,4.45
5,9.56
5,10.23
5,8.54
5,11.3
5,10.95
5,19.41
5,11.41
5,7.49
20,13.16
20,12.99
20,6.36
20,6.34
20,11.64
20,10.98
20,9.24
20,11.13
20,6.63
20,10.03
20,10.82
20,9.14
20,11.47
20,10.61
20,10.26
20,10.84
20,8.98
20,13.1
20,10.4
20,10.75
20,13.24
20,7.13
20,9.43
20,9.46
20,7.26
20,9.92
20,10.63
20,10.93
20,9.18
20,12.32
