shots,lower_multiple,upper_multiple,example_lower_fps_for_sd_10,example_upper_fps_for_sd_10
3,0.521,6.285,5.2,62.8
4,0.566,3.729,5.7,37.3
5,0.599,2.874,6.0,28.7
6,0.624,2.453,6.2,24.5
7,0.644,2.202,6.4,22.0
8,0.661,2.035,6.6,20.4
9,0.675,1.916,6.8,19.2
10,0.688,1.826,6.9,18.3
11,0.699,1.755,7.0,17.5
12,0.708,1.698,7.1,17.0
13,0.717,1.651,7.2,16.5
14,0.725,1.611,7.2,16.1
15,0.732,1.577,7.3,15.8
16,0.739,1.548,7.4,15.5
17,0.745,1.522,7.4,15.2
18,0.75,1.499,7.5,15.0
19,0.756,1.479,7.6,14.8
20,0.76,1.461,7.6,14.6
21,0.765,1.444,7.7,14.4
22,0.769,1.429,7.7,14.3
23,0.773,1.415,7.7,14.2
24,0.777,1.403,7.8,14.0
25,0.781,1.391,7.8,13.9
26,0.784,1.38,7.8,13.8
27,0.788,1.37,7.9,13.7
28,0.791,1.361,7.9,13.6
29,0.794,1.352,7.9,13.5
30,0.796,1.344,8.0,13.4
31,0.799,1.337,8.0,13.4
32,0.802,1.329,8.0,13.3
33,0.804,1.323,8.0,13.2
34,0.807,1.316,8.1,13.2
35,0.809,1.31,8.1,13.1
36,0.811,1.304,8.1,13.0
37,0.813,1.299,8.1,13.0
38,0.815,1.294,8.2,12.9
39,0.817,1.289,8.2,12.9
40,0.819,1.284,8.2,12.8
41,0.821,1.28,8.2,12.8
42,0.823,1.275,8.2,12.8
43,0.825,1.271,8.2,12.7
44,0.826,1.267,8.3,12.7
45,0.828,1.263,8.3,12.6
46,0.829,1.26,8.3,12.6
47,0.831,1.256,8.3,12.6
48,0.832,1.253,8.3,12.5
49,0.834,1.249,8.3,12.5
50,0.835,1.246,8.4,12.5
